"pred","obs","模型"
0.087344767842007,0,"基础模型 (仅 X)"
0.396734438158214,1,"基础模型 (仅 X)"
0.438356097497201,0,"基础模型 (仅 X)"
0.0280244827878115,0,"基础模型 (仅 X)"
0.283260050474331,1,"基础模型 (仅 X)"
0.29392432348841,1,"基础模型 (仅 X)"
0.0174104651205216,0,"基础模型 (仅 X)"
0.0754679886119559,0,"基础模型 (仅 X)"
0.0601101236987311,0,"基础模型 (仅 X)"
0.123359852074548,0,"基础模型 (仅 X)"
0.0240525420926671,0,"基础模型 (仅 X)"
0.124623195064403,0,"基础模型 (仅 X)"
0.111127946592284,0,"基础模型 (仅 X)"
0.0303496656864953,0,"基础模型 (仅 X)"
0.0646624836518947,0,"基础模型 (仅 X)"
0.390042623455982,0,"基础模型 (仅 X)"
0.0519497622087131,0,"基础模型 (仅 X)"
0.300785808385308,0,"基础模型 (仅 X)"
0.168534112579914,0,"基础模型 (仅 X)"
0.0651371421227198,0,"基础模型 (仅 X)"
0.0697832535047533,0,"基础模型 (仅 X)"
0.511248741766806,0,"基础模型 (仅 X)"
0.368417137608698,0,"基础模型 (仅 X)"
0.318928457451034,0,"基础模型 (仅 X)"
0.0603722055648522,0,"基础模型 (仅 X)"
0.123621178901693,0,"基础模型 (仅 X)"
0.40896715780348,1,"基础模型 (仅 X)"
0.446724152134997,0,"基础模型 (仅 X)"
0.0274562033507529,0,"基础模型 (仅 X)"
0.0821917707244807,0,"基础模型 (仅 X)"
0.0195895998265805,0,"基础模型 (仅 X)"
0.407726681018983,0,"基础模型 (仅 X)"
0.218705581985705,0,"基础模型 (仅 X)"
0.466942307676483,0,"基础模型 (仅 X)"
0.027308810531,0,"基础模型 (仅 X)"
0.110397567743855,0,"基础模型 (仅 X)"
0.0152296842021629,0,"基础模型 (仅 X)"
0.0167035493747529,0,"基础模型 (仅 X)"
0.168579545258329,0,"基础模型 (仅 X)"
0.530103633283891,0,"基础模型 (仅 X)"
0.0418341170043429,0,"基础模型 (仅 X)"
0.0626434089120716,0,"基础模型 (仅 X)"
0.404191378003602,0,"基础模型 (仅 X)"
0.0179754596068701,0,"基础模型 (仅 X)"
0.213298613332048,1,"基础模型 (仅 X)"
0.0521761633369398,0,"基础模型 (仅 X)"
0.0488032381445963,0,"基础模型 (仅 X)"
0.144819925533277,0,"基础模型 (仅 X)"
0.392399794855565,0,"基础模型 (仅 X)"
0.0254104081892195,0,"基础模型 (仅 X)"
0.103756711003315,0,"基础模型 (仅 X)"
0.14180337191912,1,"基础模型 (仅 X)"
0.215134581713871,0,"基础模型 (仅 X)"
0.521805560312981,0,"基础模型 (仅 X)"
0.0724240956055308,0,"基础模型 (仅 X)"
0.0727797396384951,0,"基础模型 (仅 X)"
0.0422610396986149,0,"基础模型 (仅 X)"
0.130240926316688,0,"基础模型 (仅 X)"
0.0980172978581126,0,"基础模型 (仅 X)"
0.332610744927433,1,"基础模型 (仅 X)"
0.0974167964288044,0,"基础模型 (仅 X)"
0.0419103837369342,0,"基础模型 (仅 X)"
0.0363996166328775,0,"基础模型 (仅 X)"
0.523896598456715,1,"基础模型 (仅 X)"
0.267274889823285,1,"基础模型 (仅 X)"
0.0380147941231425,0,"基础模型 (仅 X)"
0.584415890117398,1,"基础模型 (仅 X)"
0.0863867025522791,0,"基础模型 (仅 X)"
0.153970021866111,0,"基础模型 (仅 X)"
0.0332139572567829,0,"基础模型 (仅 X)"
